a,b,c,d
6259,6580,8260,1356
8653,9025,8517,1357
661,8272,7893,1356
9696,9609,6900,1358
3933,5116,7521,1358
7360,2297,4096,1356
9348,1226,2113,1357
8571,7893,7824,1356
3075,1381,9569,1357
753,3332,5189,1358
474,5806,2785,1358
8968,2044,5185,1356
9438,1462,7476,1358
9975,1088,9089,1357
3977,4895,2161,1357
4590,1309,2580,1356
6961,2649,9700,1356
6957,6917,7217,1358
4047,4804,4321,1356
4349,8466,7524,1357
1100,5347,8837,1357
9837,5951,8801,1356
1813,9790,1604,1358
7262,7704,6036,1357
7240,1384,2273,1357
426,5951,6308,1356
6164,31,2213,1358
5872,4250,3525,1357
1101,1723,7232,1358
1679,9496,8581,1356
8917,3348,4512,1357
8667,4434,4049,1356
4106,2762,2576,1358
6177,5449,2644,1358
4971,4968,8660,1357
5793,5137,885,1357
4933,2461,1681,1358
2010,7902,7429,1356
7353,8217,1264,1357
4620,7262,2609,1358
2954,5736,2085,1357
4398,1750,6101,1358
794,4196,1317,1357
8924,133,9092,1358
5996,349,7492,1358
635,5698,6097,1356
4417,3051,7780,1358
9997,4831,8196,1356
956,6740,8160,1356
3302,4401,4677,1358
3773,289,613,1357
6128,3346,8612,1358
734,9072,7136,1358
3869,9817,2512,1357
9831,3888,7125,1358
6753,1618,2292,1358
286,8744,3041,1357
800,4333,1284,1356
7511,6162,1349,1357
6543,6531,7472,1357
7481,6204,9845,1356
2492,3088,7937,1357
859,6820,9860,1358
2499,9249,4340,1357
3626,6559,453,1358
2564,5833,3573,1357
399,8364,8564,1357
7806,7602,4917,1356
4062,5033,8305,1357
5159,5909,7876,1357
896,9132,2356,1358
5477,1048,1093,1356
2343,8741,1297,1356
1547,6608,8565,1356
1074,3039,2533,1356
140,9104,7936,1357
3250,1725,2353,1356
2806,3142,6612,1358
8852,767,1317,1357
7121,7476,4385,1358
7738,2901,3024,1358
2688,8060,3856,1357
198,5506,8149,1357
997,7440,1093,1356
